year,month,tmp_min,tmp_max,tmp_ave,prcp,srad,frost_days
2018,1,-3.463548387096774,7.163870967741936,1.8501612903225808,2.4812903225806453,8.641128632656399,18.52709677419355
2018,2,2.935,13.744642857142857,8.339821428571428,13.021785714285715,9.986283995121811,5.7299999999999995
2018,3,6.2219354838709675,17.36741935483871,11.794677419354839,2.9664516129032257,14.371629412070448,0
2018,4,6.558333333333334,19.30966666666667,12.934000000000001,6.066,18.77589011702533,0
2018,5,19.419677419354837,30.998709677419356,25.2091935483871,2.036774193548387,19.02484645818304,0
2018,6,21.857333333333333,33.114333333333335,27.485833333333332,2.4176666666666664,19.956050145215556,0
2018,7,22.84258064516129,33.141612903225806,27.99209677419355,3.0738709677419354,18.726438480196045,0
2018,8,21.335806451612903,31.793225806451613,26.564516129032256,3.0458064516129033,17.411389797425493,0
2018,9,19.929666666666666,29.743333333333332,24.8365,5.426666666666667,13.876189092068334,0
2018,10,12.32741935483871,23.579354838709676,17.953387096774193,5.230645161290322,12.032396699851612,0
2018,11,3.2196666666666665,13.143666666666666,8.181666666666667,4.594666666666667,8.003215443143667,5.160666666666667
2018,12,2.7048387096774196,11.486451612903226,7.095645161290323,6.513225806451613,6.5111261043923,6.1903225806451605
2019,1,0.7790322580645161,9.30967741935484,5.044354838709678,4.02258064516129,7.9214821284605605,10.041935483870967
2019,2,3.432857142857143,13.441071428571428,8.436964285714286,11.581071428571429,10.33717521735153,4.734285714285714
2019,3,4.274193548387097,15.288387096774194,9.781290322580645,4.478064516129032,15.489989351686473,3.0516129032258057
2019,4,11.419333333333334,22.424,16.921666666666667,8.48,16.95886199869022,0
2019,5,17.784193548387098,28.008709677419354,22.896451612903228,3.8725806451612903,18.94222115331394,0
2019,6,20.221,30.239666666666665,25.230333333333334,6.370333333333333,18.952221502592888,0
2019,7,22.416774193548388,31.899354838709677,27.15806451612903,5.1245161290322585,18.370360262158584,0
2019,8,22.058709677419355,32.423870967741934,27.241290322580646,4.302258064516129,17.606283573324347,0
2019,9,21.193666666666665,33.91866666666667,27.556166666666666,0.38266666666666665,16.029126826171332,0
2019,10,11.265806451612903,22.75548387096774,17.01064516129032,8.993548387096775,11.047715133632256,0
2019,11,2.4166666666666665,14.347999999999999,8.382333333333333,3.7616666666666667,9.418105884976999,6.766666666666667
2019,12,3.5883870967741935,13.003225806451614,8.295806451612904,2.0883870967741935,7.211786117119564,4.423225806451613
2020,1,2.9970967741935484,11.545483870967741,7.271290322580645,5.211612903225807,7.592747172009365,5.605806451612903
2020,2,2.2582758620689654,11.98,7.119137931034483,5.048620689655173,10.94879381205529,7.083448275862069
2020,3,9.292903225806452,18.650967741935485,13.971935483870968,8.308709677419355,12.577906317758064,0
2020,4,9.709666666666667,20.943,15.326333333333334,4.897333333333333,19.03830768279556,0
2020,5,15.218064516129033,25.91516129032258,20.566612903225806,3.1961290322580647,19.476453672079188,0
2020,6,20.308333333333334,31.224,25.766166666666667,3.1936666666666667,19.726563186574445,0
2020,7,23.54774193548387,33.46290322580645,28.50532258064516,3.1058064516129034,17.840028271154214,0
2020,8,20.974193548387095,31.740645161290324,26.35741935483871,5.0845161290322585,17.536267467125494,0
2020,9,17.865,28.051000000000002,22.958,3.393,14.564957049916,0
2020,10,10.256129032258064,21.756129032258066,16.006129032258066,4.175806451612903,11.979480180972736,0
2020,11,6.624666666666667,19.049666666666667,12.837166666666667,2.154333333333333,9.429889816660001,0
2020,12,0.7133333333333334,11.402333333333333,6.057833333333333,4.058,7.400878614933222,10.173333333333332
2021,1,0.8816129032258064,9.945483870967742,5.413548387096774,1.518709677419355,8.115341709952133,9.836774193548386
2021,2,-3.3882142857142856,5.981428571428571,1.2966071428571428,4.706785714285714,10.82339661528865,18.37642857142857
2021,3,7.827096774193548,19.107096774193547,13.467096774193548,8.026774193548388,14.218417245260355,0
2021,4,9.472333333333333,21.67,15.571166666666667,3.533,18.73979237430933,0
2021,5,14.95516129032258,25.90741935483871,20.431290322580644,3.4161290322580644,19.161268301113317,0
2021,6,20.881,30.819,25.85,3.203333333333333,19.57519151315689,0
2021,7,22.398709677419355,31.96548387096774,27.182096774193546,4.6490322580645165,18.342221238304475,0
2021,8,22.60516129032258,32.556451612903224,27.5808064516129,2.4906451612903227,17.468380340472844,0
2021,9,17.900666666666666,29.8,23.85033333333333,2.359,15.768231157657333,0
2021,10,13.561935483870968,25.076129032258063,19.319032258064517,2.8251612903225807,11.799083271770966,0
2021,11,3.526,16.130666666666666,9.828333333333333,2.2466666666666666,9.451856790881331,4.548
2021,12,6.994516129032258,17.619354838709675,12.306935483870966,2.8516129032258064,6.884831658775546,0
2022,1,-2.318709677419355,9.28225806451613,3.4817741935483877,4.299032258064516,8.634455741765036,16.23741935483871
2022,2,-0.2121428571428572,11.496785714285714,5.642321428571428,7.038214285714286,10.232915042277424,12.024285714285714
2022,3,5.357096774193549,18.002903225806453,11.68,4.509677419354839,15.174923332263164,0.8858064516129023
2022,4,10.116333333333333,21.893,16.004666666666665,5.961,17.548055828426662,0
2022,5,16.947741935483872,28.109032258064516,22.528387096774196,4.180322580645162,19.377323177357855,0
2022,6,20.924666666666667,32.60033333333333,26.7625,2.3796666666666666,20.682986034619336,0
2022,7,23.916774193548388,34.54774193548387,29.23225806451613,3.3161290322580648,17.782765686625286,0
2022,8,21.99741935483871,31.779032258064515,26.88822580645161,2.2606451612903227,17.32817897746868,0
2022,9,17.171666666666667,30.774333333333335,23.973,0.7123333333333333,17.495674061150996,0
